,index,Date,Min_Temp,Max_Temp
13,13,2015-06-22,45,428
16,17,2015-10-06,-62,394
57,61,2015-01-30,-234,300
62,67,2015-12-17,-256,300
68,74,2015-10-05,-40,396
84,91,2015-08-14,-3,375
110,121,2015-07-17,-23,391
118,130,2015-05-15,-12,445
131,144,2015-10-31,-139,336
133,147,2015-04-06,-118,387
136,150,2015-06-23,43,427
143,157,2015-11-01,-139,343
159,176,2015-12-18,-257,294
184,210,2015-11-15,-143,343
191,224,2015-09-16,-1,420
201,235,2015-10-07,-87,400
209,246,2015-01-12,-297,334
217,258,2015-01-29,-247,300
225,272,2015-08-13,31,374
231,282,2015-08-26,22,388
240,296,2015-12-16,-256,306
242,299,2015-04-05,-95,406
249,308,2015-07-15,-25,396
286,369,2015-05-26,-33,468
309,412,2015-03-01,-164,327
313,421,2015-02-28,-202,368
319,442,2015-03-14,-162,366
328,458,2015-04-25,-113,441
331,462,2015-11-14,-87,360
368,560,2015-09-17,4,411
370,566,2015-05-27,-9,470
377,595,2015-05-14,-13,420
383,613,2015-04-24,-116,432
400,663,2015-07-16,-26,401
415,711,2015-01-31,-271,331
420,724,2015-05-18,-58,464
429,733,2015-12-27,-224,326
439,743,2015-08-22,-27,360
449,756,2015-03-06,-218,335
452,759,2015-04-13,-89,390
494,815,2015-07-08,28,395
496,817,2015-01-15,-253,277
505,830,2015-06-30,58,414
507,834,2015-05-22,-25,462
514,847,2015-08-18,24,380
523,858,2015-03-10,-215,358
524,859,2015-11-09,-114,339
532,868,2015-09-23,8,355
535,871,2015-09-29,-61,395
538,874,2015-01-21,-279,287
558,909,2015-01-20,-269,295
572,923,2015-12-28,-218,372
591,952,2015-07-01,35,416
596,957,2015-04-18,-80,430
605,967,2015-03-07,-199,334
612,981,2015-11-05,-144,365
613,982,2015-05-21,-39,455
653,1089,2015-11-04,-97,370
666,1104,2015-07-09,-23,400
684,1123,2015-04-12,-122,384
686,1127,2015-01-22,-218,294
702,1152,2015-09-22,-50,370
707,1158,2015-06-29,37,438
725,1185,2015-11-10,-159,350
767,1255,2015-03-11,-208,363
791,1296,2015-08-23,-43,376
813,1365,2015-04-19,-103,436
815,1370,2015-09-30,-42,400
823,1385,2015-12-26,-289,305
848,1477,2015-09-25,-26,370
873,1504,2015-04-15,-94,400
876,1508,2015-07-05,-17,407
890,1527,2015-01-16,-255,270
897,1537,2015-11-06,-153,357
898,1538,2015-05-20,-45,462
905,1548,2015-11-07,-144,341
921,1569,2015-08-20,-33,366
923,1574,2015-05-19,-20,464
934,1589,2015-07-03,37,398
946,1610,2015-12-30,-261,366
950,1615,2015-01-18,-306,290
963,1642,2015-04-17,-74,432
987,1679,2015-01-17,-220,285
989,1681,2015-07-04,-8,405
993,1685,2015-12-31,-208,365
995,1687,2015-04-16,-66,425
997,1689,2015-09-26,-30,371
1007,1701,2015-03-08,-231,345
1011,1708,2015-08-21,-29,357
1069,1869,2015-07-02,47,420
1074,1876,2015-01-19,-289,291
1083,1886,2015-07-06,0,402
1088,1892,2015-12-29,-202,376
1095,1900,2015-08-19,9,373
1102,1921,2015-09-24,-19,362
1108,1933,2015-04-14,-110,390
1111,1940,2015-09-28,-13,378
1121,1959,2015-07-07,24,425
1122,1961,2015-11-08,-195,339
1154,2084,2015-03-09,-164,360
1161,2102,2015-09-27,-45,380
1181,2237,2015-05-16,-17,454
1193,2249,2015-11-12,-166,372
1226,2286,2015-08-15,51,370
1229,2289,2015-07-13,10,386
1232,2292,2015-01-26,-223,299
1244,2309,2015-12-21,-225,302
1245,2311,2015-06-26,32,408
1256,2327,2015-08-25,-11,375
1268,2340,2015-05-25,-56,464
1273,2353,2015-01-13,-252,316
