,Date,Min_Temp,Max_Temp
1685,31/12/15,-208,365
1610,30/12/15,-261,366
1892,29/12/15,-202,376
923,28/12/15,-218,372
733,27/12/15,-224,326
1385,26/12/15,-289,305
3261,25/12/15,-234,292
2999,24/12/15,-263,274
3670,23/12/15,-229,292
3490,22/12/15,-276,294
2309,21/12/15,-225,302
2820,20/12/15,-238,295
2720,19/12/15,-238,300
176,18/12/15,-257,294
67,17/12/15,-256,300
296,16/12/15,-256,306
6818,15/12/15,-236,305
7683,14/12/15,-220,294
7319,13/12/15,-255,310
7734,12/12/15,-177,308
4581,11/12/15,-227,308
5028,10/12/15,-153,317
3945,09/12/15,-193,322
4305,08/12/15,-219,339
6583,07/12/15,-187,349
5482,06/12/15,-203,349
5564,05/12/15,-126,326
5941,04/12/15,-194,333
5444,03/12/15,-211,323
6053,02/12/15,-219,319
3938,01/12/15,-197,344
5032,30/11/15,-210,324
4705,29/11/15,-202,324
7519,28/11/15,-176,326
7207,27/11/15,-169,329
7302,26/11/15,-184,342
4691,25/11/15,-178,350
4376,24/11/15,-142,353
6545,23/11/15,-174,357
5688,22/11/15,-157,360
6397,21/11/15,-153,347
4310,20/11/15,-175,342
4033,19/11/15,-177,352
4563,18/11/15,-178,349
6896,17/11/15,-180,332
7295,16/11/15,-192,343
210,15/11/15,-143,343
462,14/11/15,-87,360
2824,13/11/15,-174,369
2249,12/11/15,-166,372
3113,11/11/15,-173,356
1185,10/11/15,-159,350
859,09/11/15,-114,339
1961,08/11/15,-195,339
1548,07/11/15,-144,341
1537,06/11/15,-153,357
981,05/11/15,-144,365
1089,04/11/15,-97,370
3007,03/11/15,-126,374
2447,02/11/15,-150,362
157,01/11/15,-139,343
144,31/10/15,-139,336
7094,30/10/15,-123,324
7907,29/10/15,-115,325
4147,28/10/15,-128,360
4374,27/10/15,-121,377
5390,26/10/15,-141,364
5535,25/10/15,-77,370
4146,24/10/15,-115,385
7637,23/10/15,-117,392
7758,22/10/15,-120,392
7226,21/10/15,-83,384
4708,20/10/15,-67,396
4063,19/10/15,-112,394
6174,18/10/15,-128,405
5435,17/10/15,-130,406
5908,16/10/15,-55,396
5490,15/10/15,-122,394
6318,14/10/15,-112,388
3896,13/10/15,-109,386
4105,12/10/15,-106,392
4815,11/10/15,-96,395
7162,10/10/15,-95,396
7306,09/10/15,-50,392
6803,08/10/15,-68,396
235,07/10/15,-87,400
17,06/10/15,-62,394
74,05/10/15,-40,396
2393,04/10/15,-59,405
2465,03/10/15,-69,415
3671,02/10/15,-56,410
3074,01/10/15,-70,407
1370,30/09/15,-42,400
871,29/09/15,-61,395
1940,28/09/15,-13,378
2102,27/09/15,-45,380
1689,26/09/15,-30,371
1477,25/09/15,-26,370
1921,24/09/15,-19,362
868,23/09/15,8,355
1152,22/09/15,-50,370
3035,21/09/15,19,377
3457,20/09/15,-4,380
2552,19/09/15,-29,395
2779,18/09/15,-6,409
560,17/09/15,4,411
224,16/09/15,-1,420
6893,15/09/15,-3,418
6961,14/09/15,-19,420
7807,13/09/15,-26,416
4512,12/09/15,-26,414
4102,11/09/15,-1,407
4252,10/09/15,-10,402
5340,09/09/15,-13,401
5817,08/09/15,-8,398
5293,07/09/15,16,390
4391,06/09/15,11,395
4862,05/09/15,13,382
7147,04/09/15,16,387
6927,03/09/15,11,376
5233,02/09/15,23,381
4145,01/09/15,25,374
5279,31/08/15,21,380
5456,30/08/15,22,391
4364,29/08/15,22,394
4794,28/08/15,11,391
7561,27/08/15,19,391
282,26/08/15,22,388
2327,25/08/15,-11,375
2517,24/08/15,14,370
1296,23/08/15,-43,376
743,22/08/15,-27,360
1708,21/08/15,-29,357
1569,20/08/15,-33,366
1900,19/08/15,9,373
847,18/08/15,24,380
3155,17/08/15,8,382
2591,16/08/15,28,353
2286,15/08/15,51,370
91,14/08/15,-3,375
272,13/08/15,31,374
7253,12/08/15,19,377
4704,11/08/15,6,397
4136,10/08/15,-2,390
4180,09/08/15,-28,383
6468,08/08/15,2,386
5721,07/08/15,9,376
6013,06/08/15,12,376
4834,05/08/15,5,375
7288,04/08/15,41,385
7548,03/08/15,12,378
7166,02/08/15,16,343
4696,01/08/15,10,394
4060,31/07/15,10,350
4383,30/07/15,17,352
5514,29/07/15,14,424
5607,28/07/15,6,408
5679,27/07/15,-11,397
6465,26/07/15,-22,374
6246,25/07/15,-19,430
4411,24/07/15,-33,387
3963,23/07/15,-39,387
4556,22/07/15,-20,405
7689,21/07/15,-18,390
7204,20/07/15,2,398
7626,19/07/15,-16,414
7058,18/07/15,-30,414
121,17/07/15,-23,391
663,16/07/15,-26,401
308,15/07/15,-25,396
2932,14/07/15,52,394
2289,13/07/15,10,386
2428,12/07/15,46,384
3126,11/07/15,62,395
3239,10/07/15,-3,440
1104,09/07/15,-23,400
815,08/07/15,28,395
1959,07/07/15,24,425
1886,06/07/15,0,402
1508,05/07/15,-17,407
1681,04/07/15,-8,405
1589,03/07/15,37,398
1869,02/07/15,47,420
952,01/07/15,35,416
830,30/06/15,58,414
1158,29/06/15,37,438
3008,28/06/15,25,414
3434,27/06/15,55,410
2311,26/06/15,32,408
2361,25/06/15,32,400
2767,24/06/15,5,416
150,23/06/15,43,427
13,22/06/15,45,428
6772,21/06/15,-27,462
8170,20/06/15,-28,462
7516,19/06/15,9,451
8057,18/06/15,6,441
5117,17/06/15,-1,427
3878,16/06/15,-10,416
4276,15/06/15,2,401
6114,14/06/15,-1,420
5543,13/06/15,-7,428
5669,12/06/15,-23,433
5303,11/06/15,-7,434
6346,10/06/15,-52,458
4112,09/06/15,-47,466
4598,08/06/15,-9,460
7097,07/06/15,-11,448
6756,06/06/15,-19,442
6866,05/06/15,-21,424
4615,04/06/15,-44,425
6147,03/06/15,-1,425
5453,02/06/15,-29,448
5377,01/06/15,-17,454
4227,31/05/15,-6,456
3853,30/05/15,-44,458
4847,29/05/15,-46,468
6913,28/05/15,-36,454
566,27/05/15,-9,470
369,26/05/15,-33,468
2340,25/05/15,-56,464
2520,24/05/15,-20,468
3153,23/05/15,-16,466
834,22/05/15,-25,462
982,21/05/15,-39,455
1538,20/05/15,-45,462
1574,19/05/15,-20,464
724,18/05/15,-58,464
3400,17/05/15,-17,454
2237,16/05/15,-17,454
130,15/05/15,-12,445
595,14/05/15,-13,420
7143,13/05/15,-45,428
4996,12/05/15,-69,433
6098,11/05/15,-90,433
5262,10/05/15,-34,434
4222,09/05/15,-87,445
4692,08/05/15,-73,445
6788,07/05/15,-24,448
6874,06/05/15,-79,443
5149,05/05/15,-79,446
6112,04/05/15,-71,446
5706,03/05/15,-87,449
5548,02/05/15,-58,445
6546,01/05/15,-86,445
3939,30/04/15,-59,442
5138,29/04/15,-62,443
4731,28/04/15,-97,437
7215,27/04/15,-85,440
6809,26/04/15,-109,433
458,25/04/15,-113,441
613,24/04/15,-116,432
2700,23/04/15,-113,435
2494,22/04/15,-103,430
3546,21/04/15,-74,438
3219,20/04/15,-81,445
1365,19/04/15,-103,436
957,18/04/15,-80,430
1642,17/04/15,-74,432
1687,16/04/15,-66,425
1504,15/04/15,-94,400
1933,14/04/15,-110,390
759,13/04/15,-89,390
1123,12/04/15,-122,384
3067,11/04/15,-148,396
3088,10/04/15,-111,420
2555,09/04/15,-111,409
2835,08/04/15,-116,402
2742,07/04/15,-135,397
147,06/04/15,-118,387
299,05/04/15,-95,406
7412,04/04/15,-73,414
7308,03/04/15,-73,410
7687,02/04/15,-96,399
4522,01/04/15,-104,386
4208,31/03/15,-79,385
4195,30/03/15,-87,378
6501,29/03/15,-125,410
5415,28/03/15,-102,414
5553,27/03/15,-150,429
4161,26/03/15,-107,416
4647,25/03/15,-175,420
6952,24/03/15,-177,407
6856,23/03/15,-113,415
7042,22/03/15,-156,412
4972,21/03/15,-212,402
5384,20/03/15,-150,387
5327,19/03/15,-161,380
4156,18/03/15,-148,360
3966,17/03/15,-125,355
7362,16/03/15,-97,348
7267,15/03/15,-157,367
442,14/03/15,-162,366
2662,13/03/15,-131,368
3440,12/03/15,-176,371
1255,11/03/15,-208,363
858,10/03/15,-215,358
2084,09/03/15,-164,360
1701,08/03/15,-231,345
967,07/03/15,-199,334
756,06/03/15,-218,335
3201,05/03/15,-238,322
3111,04/03/15,-201,302
2509,03/03/15,-191,322
2651,02/03/15,-139,275
412,01/03/15,-164,327
421,28/02/15,-202,368
7825,27/02/15,-131,348
7455,26/02/15,-168,380
5069,25/02/15,-156,364
4137,24/02/15,-130,369
6140,23/02/15,-146,378
5400,22/02/15,-209,385
5436,21/02/15,-172,372
3949,20/02/15,-191,370
7011,19/02/15,-220,347
6737,18/02/15,-150,356
6853,17/02/15,-184,346
6824,16/02/15,-237,355
4716,15/02/15,-217,353
4009,14/02/15,-226,344
4170,13/02/15,-241,352
6541,12/02/15,-236,344
5638,11/02/15,-253,315
5381,10/02/15,-211,319
5529,09/02/15,-213,308
6084,08/02/15,-208,305
4179,07/02/15,-237,314
4048,06/02/15,-218,323
5062,05/02/15,-244,311
4679,04/02/15,-210,322
7026,03/02/15,-211,314
7013,02/02/15,-226,302
7363,01/02/15,-236,318
711,31/01/15,-271,331
61,30/01/15,-234,300
258,29/01/15,-247,300
2664,28/01/15,-185,303
2829,27/01/15,-178,303
2292,26/01/15,-223,299
3541,25/01/15,-261,297
3174,24/01/15,-222,293
3323,23/01/15,-189,285
1127,22/01/15,-218,294
874,21/01/15,-279,287
909,20/01/15,-269,295
1876,19/01/15,-289,291
1615,18/01/15,-306,290
1679,17/01/15,-220,285
1527,16/01/15,-255,270
817,15/01/15,-253,277
3572,14/01/15,-228,285
2353,13/01/15,-252,316
246,12/01/15,-297,334
6926,11/01/15,-299,318
7769,10/01/15,-317,312
4074,09/01/15,-311,317
5613,08/01/15,-235,322
5339,07/01/15,-267,308
4925,06/01/15,-247,315
7480,05/01/15,-216,296
4883,04/01/15,-173,292
5416,03/01/15,-223,286
4868,02/01/15,-224,270
8088,01/01/15,-287,271
3,31/12/14,-298,274
3644,30/12/14,-287,282
1958,29/12/14,-348,280
721,28/12/14,-261,280
1380,27/12/14,-218,296
187,26/12/14,-262,284
3862,25/12/14,-291,290
5496,24/12/14,-217,287
6759,23/12/14,-259,280
4921,22/12/14,-200,300
5481,21/12/14,-241,300
5557,20/12/14,-199,290
4505,19/12/14,-260,286
6974,18/12/14,-264,280
1,17/12/14,-237,270
2330,16/12/14,-260,282
3044,15/12/14,-248,288
732,14/12/14,-230,273
1825,13/12/14,-236,278
1251,12/12/14,-256,296
2871,11/12/14,-234,314
178,10/12/14,-219,309
7638,09/12/14,-94,327
4221,08/12/14,-205,323
5439,07/12/14,-208,325
6162,06/12/14,-181,335
4896,05/12/14,-208,340
5498,04/12/14,-197,367
4034,03/12/14,-188,344
2250,02/12/14,-196,352
1649,01/12/14,-198,338
1552,30/11/14,-229,338
3295,29/11/14,-173,335
146,28/11/14,-191,345
4998,27/11/14,-185,350
5784,26/11/14,-153,344
4021,25/11/14,-218,356
7320,24/11/14,-169,346
4182,23/11/14,-152,345
5798,22/11/14,-180,355
4200,21/11/14,-182,346
4612,20/11/14,-170,366
7307,19/11/14,-197,365
455,18/11/14,-164,370
2426,17/11/14,-188,354
3142,16/11/14,-173,362
1047,15/11/14,-191,343
1672,14/11/14,-150,364
1887,13/11/14,-168,367
1087,12/11/14,-144,363
3466,11/11/14,-159,345
2694,10/11/14,-100,352
88,09/11/14,-103,358
7424,08/11/14,-194,352
4646,07/11/14,-189,358
6105,06/11/14,-132,360
5886,05/11/14,-144,350
3877,04/11/14,-112,353
7285,03/11/14,-143,380
4617,02/11/14,-151,365
5818,01/11/14,-128,360
4790,31/10/14,-111,350
599,30/10/14,-107,350
2351,29/10/14,-102,371
1186,28/10/14,-102,375
1734,27/10/14,-89,375
3288,26/10/14,-91,373
55,25/10/14,-87,390
4555,24/10/14,-110,385
6106,23/10/14,-91,403
5096,22/10/14,-121,390
3930,21/10/14,-90,385
5307,20/10/14,-108,394
4984,19/10/14,-90,382
7049,18/10/14,-74,392
486,17/10/14,-81,384
3488,16/10/14,-78,382
886,15/10/14,-78,373
990,14/10/14,-62,380
1785,13/10/14,-74,422
873,12/10/14,-72,416
2242,11/10/14,-63,435
262,10/10/14,-54,422
6786,09/10/14,-40,405
4586,08/10/14,-40,397
4293,07/10/14,-40,398
5689,06/10/14,-39,397
4808,05/10/14,-82,407
7549,04/10/14,-65,407
6617,03/10/14,-52,401
4032,02/10/14,-62,389
6988,01/10/14,-60,381
389,30/09/14,-30,385
911,29/09/14,-47,377
1618,28/09/14,-55,378
839,27/09/14,-43,377
2449,26/09/14,-21,371
167,25/09/14,-39,374
4642,24/09/14,-36,395
6085,23/09/14,-44,379
5786,22/09/14,-6,379
4558,21/09/14,15,384
7109,20/09/14,-10,397
4428,19/09/14,-28,397
5747,18/09/14,-23,390
6623,17/09/14,-23,377
4095,16/09/14,0,375
6888,15/09/14,8,382
7440,14/09/14,-5,394
281,13/09/14,24,371
2860,12/09/14,24,373
3562,11/09/14,8,392
862,10/09/14,29,396
1924,09/09/14,26,396
1529,08/09/14,20,392
739,07/09/14,29,371
3112,06/09/14,23,370
310,05/09/14,23,360
6946,04/09/14,24,385
4872,03/09/14,29,360
5429,02/09/14,15,380
3927,01/09/14,3,396
6819,31/08/14,24,402
5300,30/08/14,-8,401
6268,29/08/14,6,390
7602,28/08/14,1,390
1280,27/08/14,-17,405
1895,26/08/14,-24,412
1120,25/08/14,8,412
4130,24/08/14,-18,408
5243,23/08/14,-26,400
7958,22/08/14,6,400
4196,21/08/14,3,402
3804,20/08/14,41,402
6820,19/08/14,37,406
41,18/08/14,16,387
1883,17/08/14,35,378
1644,16/08/14,18,372
3321,15/08/14,21,370
277,14/08/14,-11,380
4514,13/08/14,-12,390
5932,12/08/14,37,402
4953,11/08/14,50,408
3954,10/08/14,37,395
80,09/08/14,58,389
1024,08/08/14,54,386
801,07/08/14,108,376
180,06/08/14,152,381
4378,05/08/14,61,393
5407,04/08/14,60,396
4030,03/08/14,53,405
4404,02/08/14,50,390
4184,01/08/14,45,398
7200,31/07/14,27,398
305,30/07/14,47,378
2238,29/07/14,52,432
1655,28/07/14,40,430
1770,27/07/14,20,418
3278,26/07/14,20,405
2641,25/07/14,5,412
7212,24/07/14,-9,430
4031,23/07/14,60,430
5359,22/07/14,79,410
4485,21/07/14,60,407
3848,20/07/14,68,398
4536,19/07/14,60,411
2603,18/07/14,59,415
1868,17/07/14,49,431
2415,16/07/14,11,438
6771,15/07/14,9,438
3783,14/07/14,21,438
4677,13/07/14,112,427
3958,12/07/14,30,435
4765,11/07/14,47,435
2357,10/07/14,39,432
796,09/07/14,47,427
804,08/07/14,60,427
3186,07/07/14,51,426
2730,06/07/14,49,419
4814,05/07/14,45,411
6211,04/07/14,32,412
3921,03/07/14,-15,412
5422,02/07/14,42,414
4133,01/07/14,-12,416
153,30/06/14,11,423
986,29/06/14,2,423
1209,28/06/14,45,418
160,27/06/14,12,418
4507,26/06/14,37,412
5097,25/06/14,27,411
4535,24/06/14,28,415
6079,23/06/14,42,416
4194,22/06/14,36,430
4523,21/06/14,16,440
29,20/06/14,3,447
2580,19/06/14,22,436
831,18/06/14,17,442
1767,17/06/14,-28,452
1567,16/06/14,-28,440
1881,15/06/14,10,430
812,14/06/14,-22,422
1203,13/06/14,3,431
3583,12/06/14,-13,450
2236,11/06/14,-1,484
2638,10/06/14,0,472
676,09/06/14,1,480
143,08/06/14,11,486
7679,07/06/14,18,476
7223,06/06/14,-36,480
4738,05/06/14,-24,474
3974,04/06/14,-16,470
4296,03/06/14,-35,458
5523,02/06/14,-30,458
5430,01/06/14,-11,460
5473,31/05/14,-57,465
4066,30/05/14,-11,465
4519,29/05/14,-33,468
7654,28/05/14,-25,472
6794,27/05/14,-41,462
4568,26/05/14,-30,454
5282,25/05/14,-44,436
5717,24/05/14,-24,445
3792,23/05/14,-85,445
7085,22/05/14,-35,465
7534,21/05/14,-65,436
81,20/05/14,-34,430
2675,19/05/14,-103,435
3110,18/05/14,-65,431
1099,17/05/14,-77,434
962,16/05/14,-81,418
1691,15/05/14,-58,415
1885,14/05/14,-86,420
1212,13/05/14,-88,428
614,12/05/14,-82,426
685,11/05/14,-113,435
4717,10/05/14,-92,426
4918,09/05/14,-37,433
5246,08/05/14,-73,433
4111,07/05/14,-104,440
7864,06/05/14,-54,444
7056,05/05/14,-105,424
5075,04/05/14,-94,424
5507,03/05/14,-66,435
5368,02/05/14,-98,455
5487,01/05/14,-107,459
3898,30/04/14,-95,456
4553,29/04/14,-111,442
7255,28/04/14,-65,430
363,27/04/14,-94,452
410,26/04/14,-139,430
2378,25/04/14,-120,425
3472,24/04/14,-72,426
3005,23/04/14,-113,412
843,22/04/14,-118,408
1069,21/04/14,-112,396
1551,20/04/14,-104,407
1781,19/04/14,-79,400
1036,18/04/14,-115,408
3237,17/04/14,-113,415
3461,16/04/14,-117,415
2630,15/04/14,-116,429
348,14/04/14,-125,424
7131,13/04/14,-78,424
6948,12/04/14,-179,426
3967,11/04/14,-105,423
4298,10/04/14,-125,414
5315,09/04/14,-106,408
5501,08/04/14,-90,419
4013,07/04/14,-122,424
7063,06/04/14,-118,412
4750,05/04/14,-159,412
5349,04/04/14,-99,417
6473,03/04/14,-156,406
4634,02/04/14,-184,392
710,01/04/14,-137,392
2613,31/03/14,-154,409
1191,30/03/14,-113,413
797,29/03/14,-122,403
1714,28/03/14,-143,400
1049,27/03/14,-152,394
3195,26/03/14,-111,384
2434,25/03/14,-159,370
444,24/03/14,-153,380
7280,23/03/14,-185,385
7891,22/03/14,-176,374
4092,21/03/14,-136,363
5703,20/03/14,-149,381
4138,19/03/14,-152,370
4508,18/03/14,-172,380
